pair_id,lang,density,signal,value,model
MP001,ko,low,layer_delta,0.07819767973639748,klue/bert-base
MP001,ko,high,layer_delta,0.07666877183047208,klue/bert-base
MP002,ko,low,layer_delta,0.07776353575966576,klue/bert-base
MP002,ko,high,layer_delta,0.07685968550768765,klue/bert-base
MP003,ko,low,layer_delta,0.078607900576158,klue/bert-base
MP003,ko,high,layer_delta,0.07883810455148871,klue/bert-base
MP004,ko,low,layer_delta,0.07553377476605502,klue/bert-base
MP004,ko,high,layer_delta,0.08135759288614447,klue/bert-base
MP005,ko,low,layer_delta,0.07788240909576416,klue/bert-base
MP005,ko,high,layer_delta,0.07630641893907027,klue/bert-base
MP006,ko,low,layer_delta,0.07506817037409003,klue/bert-base
MP006,ko,high,layer_delta,0.0737070387059992,klue/bert-base
MP007,ko,low,layer_delta,0.08026613430543379,klue/bert-base
MP007,ko,high,layer_delta,0.07987257025458595,klue/bert-base
MP008,ko,low,layer_delta,0.07616029544310136,klue/bert-base
MP008,ko,high,layer_delta,0.07942125472155484,klue/bert-base
MP009,ko,low,layer_delta,0.08065988800742409,klue/bert-base
MP009,ko,high,layer_delta,0.0817331075668335,klue/bert-base
MP010,ko,low,layer_delta,0.07716531645167958,klue/bert-base
MP010,ko,high,layer_delta,0.0805016268383373,klue/bert-base
MP011,ko,low,layer_delta,0.07622491229664195,klue/bert-base
MP011,ko,high,layer_delta,0.07802838628942316,klue/bert-base
MP012,ko,low,layer_delta,0.07202211835167625,klue/bert-base
MP012,ko,high,layer_delta,0.07542742382396352,klue/bert-base
MP013,ko,low,layer_delta,0.07633187554099342,klue/bert-base
MP013,ko,high,layer_delta,0.0797178799455816,klue/bert-base
MP014,ko,low,layer_delta,0.07698333263397217,klue/bert-base
MP014,ko,high,layer_delta,0.08197111975062978,klue/bert-base
MP015,ko,low,layer_delta,0.07774337855252353,klue/bert-base
MP015,ko,high,layer_delta,0.07646947557275946,klue/bert-base
MP016,ko,low,layer_delta,0.07842935757203535,klue/bert-base
MP016,ko,high,layer_delta,0.08272419192574242,klue/bert-base
MP017,ko,low,layer_delta,0.07634237679568204,klue/bert-base
MP017,ko,high,layer_delta,0.07916835221377286,klue/bert-base
MP018,ko,low,layer_delta,0.07606890526684848,klue/bert-base
MP018,ko,high,layer_delta,0.0788895000110973,klue/bert-base
MP019,ko,low,layer_delta,0.07892635735598477,klue/bert-base
MP019,ko,high,layer_delta,0.07612722028385509,klue/bert-base
MP020,ko,low,layer_delta,0.0769940506328236,klue/bert-base
MP020,ko,high,layer_delta,0.07987163825468584,klue/bert-base
MP021,ko,low,layer_delta,0.08065220442685214,klue/bert-base
MP021,ko,high,layer_delta,0.0799303108995611,klue/bert-base
MP022,ko,low,layer_delta,0.07626001943241466,klue/bert-base
MP022,ko,high,layer_delta,0.07928724722428755,klue/bert-base
MP023,ko,low,layer_delta,0.07917565107345581,klue/bert-base
MP023,ko,high,layer_delta,0.08234154636209662,klue/bert-base
MP024,ko,low,layer_delta,0.07693092931400645,klue/bert-base
MP024,ko,high,layer_delta,0.08165545897050337,klue/bert-base
MP025,ko,low,layer_delta,0.07729403539137407,klue/bert-base
MP025,ko,high,layer_delta,0.08026592297987505,klue/bert-base
MP026,ko,low,layer_delta,0.0779923525723544,klue/bert-base
MP026,ko,high,layer_delta,0.07784908468073065,klue/bert-base
MP027,ko,low,layer_delta,0.07990269227461382,klue/bert-base
MP027,ko,high,layer_delta,0.0806533694267273,klue/bert-base
MP028,ko,low,layer_delta,0.07876268842003563,klue/bert-base
MP028,ko,high,layer_delta,0.08317678083073009,klue/bert-base
MP029,ko,low,layer_delta,0.07880051569505171,klue/bert-base
MP029,ko,high,layer_delta,0.0802234790541909,klue/bert-base
MP030,ko,low,layer_delta,0.07812025872143832,klue/bert-base
MP030,ko,high,layer_delta,0.07296122204173695,klue/bert-base
MP031,ko,low,layer_delta,0.07687462459911,klue/bert-base
MP031,ko,high,layer_delta,0.07695930654352362,klue/bert-base
MP032,ko,low,layer_delta,0.07430563731627031,klue/bert-base
MP032,ko,high,layer_delta,0.07774010571566495,klue/bert-base
MP033,ko,low,layer_delta,0.07927650755101984,klue/bert-base
MP033,ko,high,layer_delta,0.07633897391232577,klue/bert-base
MP034,ko,low,layer_delta,0.07449736920270053,klue/bert-base
MP034,ko,high,layer_delta,0.07951133359562267,klue/bert-base
MP035,ko,low,layer_delta,0.08253134922547774,klue/bert-base
MP035,ko,high,layer_delta,0.07826437733390114,klue/bert-base
MP036,ko,low,layer_delta,0.07624211094596169,klue/bert-base
MP036,ko,high,layer_delta,0.0770162885839289,klue/bert-base
MP037,ko,low,layer_delta,0.07563024217432196,klue/bert-base
MP037,ko,high,layer_delta,0.07702495835044167,klue/bert-base
MP038,ko,low,layer_delta,0.07840336452830922,klue/bert-base
MP038,ko,high,layer_delta,0.07718710465864702,klue/bert-base
MP039,ko,low,layer_delta,0.07744924046776512,klue/bert-base
MP039,ko,high,layer_delta,0.08064938675273549,klue/bert-base
MP040,ko,low,layer_delta,0.07804994691501964,klue/bert-base
MP040,ko,high,layer_delta,0.08654107288880782,klue/bert-base
MP041,ko,low,layer_delta,0.07872109521519054,klue/bert-base
MP041,ko,high,layer_delta,0.07579928636550903,klue/bert-base
MP042,ko,low,layer_delta,0.07855127074501732,klue/bert-base
MP042,ko,high,layer_delta,0.07583924315192482,klue/bert-base
MP043,ko,low,layer_delta,0.07973318750208075,klue/bert-base
MP043,ko,high,layer_delta,0.07687464627352628,klue/bert-base
MP044,ko,low,layer_delta,0.08000075275247748,klue/bert-base
MP044,ko,high,layer_delta,0.07760002396323464,klue/bert-base
MP045,ko,low,layer_delta,0.07839930057525635,klue/bert-base
MP045,ko,high,layer_delta,0.08393339677290483,klue/bert-base
MP046,ko,low,layer_delta,0.08021619645032016,klue/bert-base
MP046,ko,high,layer_delta,0.07640356909145009,klue/bert-base
MP047,ko,low,layer_delta,0.08054897460070523,klue/bert-base
MP047,ko,high,layer_delta,0.08127290552312677,klue/bert-base
MP048,ko,low,layer_delta,0.07815508950840343,klue/bert-base
MP048,ko,high,layer_delta,0.0835400711406361,klue/bert-base
MP049,ko,low,layer_delta,0.07654540647159923,klue/bert-base
MP049,ko,high,layer_delta,0.08083587343042548,klue/bert-base
MP050,ko,low,layer_delta,0.07645136659795587,klue/bert-base
MP050,ko,high,layer_delta,0.08050330660559914,klue/bert-base
MP051,en,low,layer_delta,0.07351039214567705,bert-base-uncased
MP051,en,high,layer_delta,0.07995823838494041,bert-base-uncased
MP052,en,low,layer_delta,0.0640386776490645,bert-base-uncased
MP052,en,high,layer_delta,0.07861583883112128,bert-base-uncased
MP053,en,low,layer_delta,0.07925388487902554,bert-base-uncased
MP053,en,high,layer_delta,0.06981873512268066,bert-base-uncased
MP054,en,low,layer_delta,0.07444582202217796,bert-base-uncased
MP054,en,high,layer_delta,0.08405055783011696,bert-base-uncased
MP055,en,low,layer_delta,0.06821432980624112,bert-base-uncased
MP055,en,high,layer_delta,0.07702691988511519,bert-base-uncased
MP056,en,low,layer_delta,0.07759912447495894,bert-base-uncased
MP056,en,high,layer_delta,0.09300346266139638,bert-base-uncased
MP057,en,low,layer_delta,0.06651360338384454,bert-base-uncased
MP057,en,high,layer_delta,0.08053350448608398,bert-base-uncased
MP058,en,low,layer_delta,0.07253557985479181,bert-base-uncased
MP058,en,high,layer_delta,0.08223734660582109,bert-base-uncased
MP059,en,low,layer_delta,0.07234806364232843,bert-base-uncased
MP059,en,high,layer_delta,0.08131306279789317,bert-base-uncased
MP060,en,low,layer_delta,0.08030903881246393,bert-base-uncased
MP060,en,high,layer_delta,0.08074791864915327,bert-base-uncased
MP061,en,low,layer_delta,0.0703659328547391,bert-base-uncased
MP061,en,high,layer_delta,0.09093980897556651,bert-base-uncased
MP062,en,low,layer_delta,0.07425252415917137,bert-base-uncased
MP062,en,high,layer_delta,0.08690450950102373,bert-base-uncased
MP063,en,low,layer_delta,0.06680539521304044,bert-base-uncased
MP063,en,high,layer_delta,0.07361567562276666,bert-base-uncased
MP064,en,low,layer_delta,0.07090750607577237,bert-base-uncased
MP064,en,high,layer_delta,0.07732567462054166,bert-base-uncased
MP065,en,low,layer_delta,0.07445795969529585,bert-base-uncased
MP065,en,high,layer_delta,0.07646710222417658,bert-base-uncased
MP066,en,low,layer_delta,0.07615924965251576,bert-base-uncased
MP066,en,high,layer_delta,0.09361552650278265,bert-base-uncased
MP067,en,low,layer_delta,0.07690082354979082,bert-base-uncased
MP067,en,high,layer_delta,0.0931221680207686,bert-base-uncased
MP068,en,low,layer_delta,0.0704555944962935,bert-base-uncased
