id,lang,density,signal,value,model
G001,ko,high,layer_delta,0.07750114527615634,klue/bert-base
G002,ko,high,layer_delta,0.07669609785079956,klue/bert-base
G003,ko,high,layer_delta,0.07753621990030463,klue/bert-base
G004,ko,high,layer_delta,0.08081195571205833,klue/bert-base
G005,ko,high,layer_delta,0.07803107391704213,klue/bert-base
G006,ko,high,layer_delta,0.08035724271427501,klue/bert-base
G007,ko,high,layer_delta,0.0811125473542647,klue/bert-base
G008,ko,high,layer_delta,0.08251351659948175,klue/bert-base
G009,ko,high,layer_delta,0.07867785475470802,klue/bert-base
G010,ko,high,layer_delta,0.08337309685620395,klue/bert-base
G011,ko,high,layer_delta,0.08355343883687799,klue/bert-base
G012,ko,high,layer_delta,0.08028134432705966,klue/bert-base
G013,ko,high,layer_delta,0.08051306551153009,klue/bert-base
G014,ko,high,layer_delta,0.08147398992018266,klue/bert-base
G015,ko,high,layer_delta,0.07925253022800792,klue/bert-base
G016,ko,high,layer_delta,0.08168655633926392,klue/bert-base
G017,ko,high,layer_delta,0.07433992624282837,klue/bert-base
G018,ko,high,layer_delta,0.07589063861153343,klue/bert-base
G019,ko,high,layer_delta,0.07824310931292447,klue/bert-base
G020,ko,high,layer_delta,0.08408035473390059,klue/bert-base
G021,ko,high,layer_delta,0.07698437842455777,klue/bert-base
G022,ko,high,layer_delta,0.07941435141996904,klue/bert-base
G023,ko,high,layer_delta,0.0789335153319619,klue/bert-base
G024,ko,high,layer_delta,0.0753825306892395,klue/bert-base
G025,ko,high,layer_delta,0.08109966191378506,klue/bert-base
G026,ko,low,layer_delta,0.07506637681614269,klue/bert-base
G027,ko,low,layer_delta,0.07701984318819913,klue/bert-base
G028,ko,low,layer_delta,0.07742667198181152,klue/bert-base
G029,ko,low,layer_delta,0.0773672407323664,klue/bert-base
G030,ko,low,layer_delta,0.07964385097677057,klue/bert-base
G031,ko,low,layer_delta,0.07767405293204567,klue/bert-base
G032,ko,low,layer_delta,0.07662095264955,klue/bert-base
G033,ko,low,layer_delta,0.07454670559276234,klue/bert-base
G034,ko,low,layer_delta,0.07620381225239146,klue/bert-base
G035,ko,low,layer_delta,0.07508019425652245,klue/bert-base
G036,ko,low,layer_delta,0.08045035058801825,klue/bert-base
G037,ko,low,layer_delta,0.07352530414407904,klue/bert-base
G038,ko,low,layer_delta,0.07872851328416304,klue/bert-base
G039,ko,low,layer_delta,0.08159070123325694,klue/bert-base
G040,ko,low,layer_delta,0.07539882985028354,klue/bert-base
G041,ko,low,layer_delta,0.07885964892127297,klue/bert-base
G042,ko,low,layer_delta,0.07991902936588634,klue/bert-base
G043,ko,low,layer_delta,0.07874159921299327,klue/bert-base
G044,ko,low,layer_delta,0.07706030390479347,klue/bert-base
G045,ko,low,layer_delta,0.07592578909613869,klue/bert-base
G046,ko,low,layer_delta,0.0745034705508839,klue/bert-base
G047,ko,low,layer_delta,0.07753342390060425,klue/bert-base
G048,ko,low,layer_delta,0.07875786044380882,klue/bert-base
G049,ko,low,layer_delta,0.0763176137750799,klue/bert-base
G050,ko,low,layer_delta,0.07800103317607533,klue/bert-base
G051,en,high,layer_delta,0.07368910854512994,bert-base-uncased
G052,en,high,layer_delta,0.07798296213150024,bert-base-uncased
G053,en,high,layer_delta,0.0804636153307828,bert-base-uncased
G054,en,high,layer_delta,0.08421034162694757,bert-base-uncased
G055,en,high,layer_delta,0.07116250016472557,bert-base-uncased
G056,en,high,layer_delta,0.08455491065979004,bert-base-uncased
G057,en,high,layer_delta,0.08478398214687001,bert-base-uncased
G058,en,high,layer_delta,0.07553180781277744,bert-base-uncased
G059,en,high,layer_delta,0.07522406361319801,bert-base-uncased
G060,en,high,layer_delta,0.07779686017469926,bert-base-uncased
G061,en,high,layer_delta,0.07184738462621515,bert-base-uncased
G062,en,high,layer_delta,0.08133660663257945,bert-base-uncased
G063,en,high,layer_delta,0.0752431641925465,bert-base-uncased
G064,en,high,layer_delta,0.07348568872971968,bert-base-uncased
G065,en,high,layer_delta,0.07761477340351451,bert-base-uncased
G066,en,high,layer_delta,0.08053898269479925,bert-base-uncased
G067,en,high,layer_delta,0.08032943985678932,bert-base-uncased
G068,en,high,layer_delta,0.07593925432725386,bert-base-uncased
G069,en,high,layer_delta,0.07140560041774403,bert-base-uncased
G070,en,high,layer_delta,0.07373634793541649,bert-base-uncased
G071,en,high,layer_delta,0.07167089527303522,bert-base-uncased
G072,en,high,layer_delta,0.07105330987410112,bert-base-uncased
G073,en,high,layer_delta,0.07365692203695123,bert-base-uncased
G074,en,high,layer_delta,0.07291386886076494,bert-base-uncased
G075,en,high,layer_delta,0.07390716401013461,bert-base-uncased
G076,en,low,layer_delta,0.06743559512225064,bert-base-uncased
G077,en,low,layer_delta,0.06995246627114036,bert-base-uncased
G078,en,low,layer_delta,0.06344611536372792,bert-base-uncased
G079,en,low,layer_delta,0.07235103845596313,bert-base-uncased
G080,en,low,layer_delta,0.06311784549192949,bert-base-uncased
G081,en,low,layer_delta,0.07594507390802557,bert-base-uncased
G082,en,low,layer_delta,0.06977675719694658,bert-base-uncased
G083,en,low,layer_delta,0.07410597801208496,bert-base-uncased
G084,en,low,layer_delta,0.07148321108384566,bert-base-uncased
G085,en,low,layer_delta,0.07135866988788951,bert-base-uncased
G086,en,low,layer_delta,0.07784502614628185,bert-base-uncased
G087,en,low,layer_delta,0.0666269063949585,bert-base-uncased
G088,en,low,layer_delta,0.06879449432546442,bert-base-uncased
G089,en,low,layer_delta,0.06972958824851296,bert-base-uncased
G090,en,low,layer_delta,0.06532424688339233,bert-base-uncased
G091,en,low,layer_delta,0.06648588722402399,bert-base-uncased
G092,en,low,layer_delta,0.07205211574381049,bert-base-uncased
G093,en,low,layer_delta,0.07564546303315596,bert-base-uncased
G094,en,low,layer_delta,0.07643987915732643,bert-base-uncased
G095,en,low,layer_delta,0.06540219350294633,bert-base-uncased
G096,en,low,layer_delta,0.07003040747209029,bert-base-uncased
G097,en,low,layer_delta,0.07086202773180875,bert-base-uncased
G098,en,low,layer_delta,0.07811169732700694,bert-base-uncased
G099,en,low,layer_delta,0.06511094895276157,bert-base-uncased
G100,en,low,layer_delta,0.07235409996726296,bert-base-uncased
G001,ko,high,surprisal_mean,5.945757865905762,Qwen3-0.6B
G001,ko,high,surprisal_cv,0.7835794512802827,Qwen3-0.6B
G002,ko,high,surprisal_mean,5.369190216064453,Qwen3-0.6B
G002,ko,high,surprisal_cv,0.72072373171363,Qwen3-0.6B
G003,ko,high,surprisal_mean,7.083624362945557,Qwen3-0.6B
G003,ko,high,surprisal_cv,0.5923990649064373,Qwen3-0.6B
G004,ko,high,surprisal_mean,5.226929187774658,Qwen3-0.6B
G004,ko,high,surprisal_cv,0.7360181582418894,Qwen3-0.6B
G005,ko,high,surprisal_mean,6.8897624015808105,Qwen3-0.6B
G005,ko,high,surprisal_cv,0.6830841330787453,Qwen3-0.6B
G006,ko,high,surprisal_mean,6.992012023925781,Qwen3-0.6B
G006,ko,high,surprisal_cv,0.615634652463864,Qwen3-0.6B
